"Series","Time","Mean","Lower_80","Upper_80","Lower_95","Upper_95"
1,53,100.075160725317,97.724356340432,102.425965110201,96.4799156700661,103.670405780567
1,54,100.075160725317,97.7243563286769,102.425965121957,96.4799156520882,103.670405798545
1,55,100.075160725317,97.7243563169217,102.425965133712,96.4799156341103,103.670405816523
1,56,100.075160725317,97.7243563051666,102.425965145467,96.4799156161323,103.670405834501
2,53,100.232651591296,97.9051125374035,102.560190645188,96.6729877893163,103.792315393275
2,54,100.232651591296,97.9051125257548,102.560190656836,96.6729877715012,103.79231541109
2,55,100.232651591296,97.9051125141068,102.560190668484,96.6729877536871,103.792315428904
2,56,100.232651591296,97.9051125024581,102.560190680133,96.672987735872,103.792315446719
3,53,115.368348111125,107.238418492481,123.49827772977,102.934693720779,127.802002501471
3,54,113.094647289055,96.6945373986562,129.494757179453,88.0128436442511,138.176450933859
3,55,110.820946466984,83.8873941236389,137.75449881033,69.6296327594874,152.012260174482
3,56,108.547245644914,69.3440878982324,147.750403391596,48.591189775179,168.503301514649
4,53,115.094836189776,106.108200248433,124.081472131119,101.350962544145,128.838709835406
4,54,114.219849478055,97.121355198807,131.318343757304,88.0699590809806,140.36973987513
4,55,113.51986001441,87.8964802703426,139.143239758477,74.3322823852386,152.707437643581
4,56,112.959868368078,78.7182899823846,147.201446753771,60.5918933180498,165.327843418106
5,53,126.268107277054,123.552479875071,128.983734679038,122.114913565293,130.421300988815
5,54,126.760540627912,124.034322481119,129.486758774704,122.591149769697,130.929931486126
5,55,127.252973978769,124.516165016092,129.989782941446,123.0673858654,131.438562092138
5,56,127.745407329626,124.998007453406,130.492807205846,123.543621811746,131.947192847506
6,53,126.988729301662,124.000838444411,129.976620158913,122.419144567504,131.558314035819
6,54,127.489246732153,124.489579246937,130.48891421737,122.901651199763,132.076842264544
6,55,127.989764162645,124.978319975303,131.001208349988,123.384157718604,132.595370606687
6,56,128.490281593137,125.467060600249,131.513502586025,123.866664079278,133.113899106996
7,53,149.531860865076,139.438501145412,159.62522058474,134.095399262267,164.968322467885
7,54,149.258423731006,129.76004334738,168.756804114632,119.43822426636,179.078623195652
7,55,149.039669647423,119.676271749421,178.403067545425,104.132227847104,193.947111447742
7,56,148.864662879426,109.529771981912,188.199553776939,88.7071385412016,209.02218721765
8,53,137.664867134809,128.602482854512,146.727251415106,123.805146401764,151.524587867854
8,54,133.28360020928,115.461854748676,151.105345669884,106.027592582634,160.539607835926
8,55,129.778586368542,102.386421627614,157.17075110947,87.8858855250984,171.671287211986
8,56,126.974575055699,89.7764750737263,164.172675037672,70.0849904161576,183.86415969524
9,53,74.1774804228993,71.3347725592246,77.020188286574,69.8299339166426,78.525026929156
9,54,73.7876548042358,70.9439116714318,76.6313979370398,69.4385249904772,78.1367846179944
9,55,73.3978291855723,70.5517580757187,76.2439002954258,69.0451390381552,77.7505193329894
9,56,73.0080035669088,70.1577985275135,75.858208606304,68.6489911198401,77.3670160139774
10,53,72.6551578009845,70.8167328525862,74.4935827493828,69.8435294716872,75.4667861302819
10,54,72.1174270973992,70.2926085449873,73.942245649811,69.3266079550357,74.9082462397626
10,55,71.5796963938138,69.7684841907023,73.3909085969253,68.809686366984,74.3497064206436
10,56,71.0419656902284,69.2443597705503,72.8395716099066,68.2927646781974,73.7911667022595
11,53,78.8606016040831,71.272241658181,86.4489615499851,67.2552065536124,90.4659966545538
11,54,72.4914488778754,57.1208807388921,87.8620170168586,48.9841934663275,95.9987042894233
11,55,66.1222961516677,40.8583997103651,91.3861925929703,27.484500790651,104.760091512684
11,56,59.75314342546,22.9706873330729,96.5355995178471,3.49923125972624,116.007055591194
12,53,87.1739484802059,77.8390554648788,96.5088414955329,72.8974616017395,101.450435358672
12,54,87.1739484802059,73.9730766059651,100.374820354447,66.984957156205,107.362939804207
12,55,87.1739484802059,71.0065179832889,103.341378977123,62.4479972594714,111.89989970094
12,56,87.1739484802059,68.5055634535047,105.842333506907,58.6231173739193,115.724779586492
13,53,99.0841325747897,89.2157461013634,108.952519048216,83.9917378608723,114.176527288707
13,54,104.352859697783,94.4844729746097,114.221246420957,89.2604646019106,119.445254793656
13,55,99.3575377213085,89.4891507483879,109.225924694229,84.2651422434806,114.449933199136
13,56,95.2961119862439,85.4277244870895,105.164499485398,80.2037157036109,110.388508268877
14,53,98.7139501467731,88.861139531264,108.566760762282,83.6453766518897,113.782523641656
14,54,98.7139501467731,88.8611394817927,108.566760811753,83.6453765762299,113.782523717316
14,55,98.7139501467731,88.8611394323215,108.566760861225,83.6453765005702,113.782523792976
14,56,98.7139501467731,88.8611393828503,108.566760910696,83.6453764249105,113.782523868636
15,53,116.260435568533,96.4156259562119,136.105245180854,85.9104183191882,146.610452817877
15,54,116.260435568533,90.3945092528539,142.126361884211,76.7019149685804,155.818956168485
15,55,116.260435568533,85.5313643201694,146.989506816896,69.2643766159121,163.256494521153
15,56,116.260435568533,81.3390167055218,151.181854431544,62.8527342315576,169.668136905508
16,53,112.543456742437,96.7410962902646,128.34581719461,88.3758319743953,136.71108151048
16,54,112.543456742437,90.1966618894555,134.89025159542,78.3669832712843,146.719930213591
16,55,112.543456742437,85.1747906342376,139.912122850637,70.6866939564792,154.400219528396
16,56,112.543456742437,80.941106689269,144.145806795606,64.2118331103316,160.875080374543
17,53,129.609475563529,116.313877990175,142.905073136883,109.275613784321,149.943337342737
17,54,130.137125223561,116.787400032715,143.486850414406,109.720482396984,150.553768050137
17,55,130.664774883592,117.26092174324,144.068628023944,110.165350501874,151.16419926531
17,56,131.192424543624,117.734442990818,144.65040609643,110.610217898748,151.7746311885
18,53,128.781963113456,118.573403683724,138.990522543188,113.169318757777,144.394607469134
18,54,129.324332250892,119.115772616787,139.532891884997,113.711687582651,144.936976919133
18,55,129.866701388329,119.65814129445,140.075261482208,114.254056016925,145.479346759733
18,56,130.409070525766,120.20050961457,140.617631436961,114.796423904384,146.021717147147
19,53,154.120489780531,135.860511518426,172.380468042636,126.194262920513,182.046716640549
19,54,154.120489780531,128.298276509992,179.94270305107,114.628822514016,193.612157047047
19,55,154.120489780531,122.495395468484,185.745584092578,105.754081806182,202.48689775488
19,56,154.120489780531,117.603281750582,190.63769781048,98.2722395197296,209.968740041333
20,53,161.501015915369,142.171831720093,180.830200110645,131.939579690847,191.06245213989
20,54,161.501015915369,135.21226651841,187.789765312327,121.295843215399,201.706188615339
20,55,161.501015915369,129.742877933786,193.259153896952,112.931135207131,210.070896623606
20,56,161.501015915369,125.085904886313,197.916126944424,105.808909543007,217.19312228773
21,53,68.1631181811046,57.8804154296064,78.4458209326028,52.437081399976,83.8891549622332
21,54,67.2712018042859,56.9839100343493,77.5584935742225,51.5381467250993,83.0042568834726
21,55,66.3792854274672,56.0816758640628,76.6768949908717,50.63045064488,82.1281202100545
21,56,65.4873690506485,55.1714422423868,75.8032958589103,49.7105204595018,81.2642176417953
22,53,71.721071411871,60.9389666361763,82.5031761875657,55.2312651441704,88.2108776795716
22,54,71.1227409126757,60.3406359212949,81.9048459040564,54.6329343151117,87.6125475102397
22,55,70.5244104134804,59.7423049368338,81.306515890127,54.0346030737663,87.0142177531944
22,56,69.9260799142851,59.1439735749685,80.7081862536017,53.4362712552311,86.415888573339
23,53,87.7103374030338,71.2339512113911,104.186723594676,62.5118792221726,112.908795583895
23,54,87.7103374030338,65.3918171968986,110.028857609169,53.5771062726379,121.84356853343
23,55,87.7103374030338,60.7889446744401,114.631730131627,46.5376202215137,128.883054584554
23,56,87.7103374030338,56.865460539887,118.555214266181,40.5371690462459,134.883505759822
24,53,90.9311652103448,74.9605234805547,106.901806940135,66.5061764373966,115.356153983293
24,54,90.9311652103448,71.2153519262728,110.646978494417,60.7784308205458,121.083899600144
24,55,90.9311652103448,68.0758553318184,113.786475088871,55.976985119762,125.885345300928
24,56,90.9311652103448,65.3183347179033,116.543995702786,51.7597212692796,130.10260915141
